Building,Bed,Bath,Study,Floor Plan,URL,Floor Plan Viewer,SF,Orientation,Unit Numbers,Quantity,
Milago,1,1,TRUE,865,https://drive.google.com/file/d/1qTOF6qwNR6NZSgBZ56ftE9eXGqaTOBvf/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1qTOF6qwNR6NZSgBZ56ftE9eXGqaTOBvf,865,,,,
Milago,1,1,TRUE,865 A,https://drive.google.com/file/d/1iqudkHii33RVw578rVfkCqsFhRzl0cdy/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1iqudkHii33RVw578rVfkCqsFhRzl0cdy,865,,,,
Milago,1,1,TRUE,875,https://drive.google.com/file/d/1H_onDCrzCTXHAermkkTM_Cd-QoH6AZH_/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1H_onDCrzCTXHAermkkTM_Cd-QoH6AZH_,875,,,,
Milago,1,1,TRUE,891,https://drive.google.com/file/d/1UgjGabDn-JgU_SnUowMfRYfw9aR5kJWJ/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1UgjGabDn-JgU_SnUowMfRYfw9aR5kJWJ,891,,,,
Milago,1,1,TRUE,893,https://drive.google.com/file/d/1Hik-0Vaie7ucijTjZ52jVpkXyCsFzgjY/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1Hik-0Vaie7ucijTjZ52jVpkXyCsFzgjY,893,,,,
Milago,1,1,TRUE,900,https://drive.google.com/file/d/15ACdjupYTCETCA2OHjINgcBTF8kso7l4/view?usp=drive_link,https://drive.google.com/uc?export=view&id=15ACdjupYTCETCA2OHjINgcBTF8kso7l4,900,,,,
Milago,1,1,TRUE,"1,097",https://drive.google.com/file/d/1yBmiAgvL99ul1s08k5tO2yv1y6cVcAhW/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1yBmiAgvL99ul1s08k5tO2yv1y6cVcAhW,"1,097",,,,
Milago,2,2,FALSE,1157,https://drive.google.com/file/d/1xQ4YS8Z5Hu6slvjJrgUwF6gdUo-w5E1Y/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1xQ4YS8Z5Hu6slvjJrgUwF6gdUo-w5E1Y,"1,157",,,,
Milago,2,2,FALSE,1164,https://drive.google.com/file/d/1RH0LB7ogKHoV5yGgz697yMQ9mA8bYDAl/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1RH0LB7ogKHoV5yGgz697yMQ9mA8bYDAl,"1,164",,,,
Milago,2,2,FALSE,1164 A,https://drive.google.com/file/d/12KJ--olbhur0V4IcHCPu_aYacBhMuWOo/view?usp=drive_link,https://drive.google.com/uc?export=view&id=12KJ--olbhur0V4IcHCPu_aYacBhMuWOo,"1,164",,,,
Milago,2,2,FALSE,1164 B,https://drive.google.com/file/d/13dwsqRTUffkse0vGRrr-cVdrINxY8c0T/view?usp=drive_link,https://drive.google.com/uc?export=view&id=13dwsqRTUffkse0vGRrr-cVdrINxY8c0T,"1,164",,,,
Milago,2,2,FALSE,1164 C,https://drive.google.com/file/d/16myz0uCMt_10TFmypuLUsxzbF4N2JFrx/view?usp=drive_link,https://drive.google.com/uc?export=view&id=16myz0uCMt_10TFmypuLUsxzbF4N2JFrx,"1,164",,,,
Milago,2,2,FALSE,1164 D,https://drive.google.com/file/d/1aLTqJUjq0mfb3Or5nAmlsVCYVTPyXO6_/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1aLTqJUjq0mfb3Or5nAmlsVCYVTPyXO6_,"1,164",,,,
Milago,2,2,FALSE,1164 E,https://drive.google.com/file/d/1tSJcYd_r4yP4Ck8gOo19yF5pWAa0GJiS/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1tSJcYd_r4yP4Ck8gOo19yF5pWAa0GJiS,"1,164",,,,
Milago,2,2,FALSE,1164 F,https://drive.google.com/file/d/1wKo6x5jpU-PlEbW-p24TYACJf6IIfZNA/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1wKo6x5jpU-PlEbW-p24TYACJf6IIfZNA,"1,164",,,,
Milago,2,2,FALSE,1189,https://drive.google.com/file/d/1m3E-MiWMERm5NF4C7Vz1l__KdwGjkCwq/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1m3E-MiWMERm5NF4C7Vz1l__KdwGjkCwq,"1,189",,,,
