source,buildingSlug,buildingName,unitNumber,status,closeDate,listingContractDate,closePrice,listPrice,originalListPrice,closePricePerSqft,listPricePerSqft,sqft,bedrooms,bathrooms,daysOnMarket,cumulativeDaysOnMarket,floorPlan,orientation,floorPlanSqft,floorPlanBeds,floorPlanBaths,floorPlanHasStudy,hoaFee,hoaFeeFrequency,yearBuilt,parkingFeatures,buyerFinancing,listAgentFullName,listOfficeName,buyerAgentFullName,buyerOfficeName,cpLp,cpOlp,previousListPrice,listingId,address,mlsArea
mls-csv-import,360-condominiums,360 Condominiums,2311,Closed,2025-10-15,2025-08-30,949000,999900,999900,666.9,702.67,1423,2,3,41,218,B6,NEc,1280,2,2,false,1848,Monthly,2011,"Attached, Reserved",Cash,Alex Atleski,Keller Williams Realty,Michael Frost,"Compass RE Texas, LLC",0.9491,0.9491,,4812307,210  Lavaca St  #2311,DT
mls-csv-import,360-condominiums,360 Condominiums,1801,Active,,2025-10-10,,899000,899000,,1070.24,840,1,1,71,71,A9,SEc,801,1,1,false,1265,Monthly,2011,None (Parking Features),,Jack McLemore,"Listing Results, LLC",,,,,,3030618,210  Lavaca St  #1801,DT
mls-csv-import,360-condominiums,360 Condominiums,2203,Active,,2025-10-09,,999995,999995,,855.43,1169,1,1,130,242,A4,E,728,1,1,false,1579.41,Monthly,2011,"Attached, Covered, Garage, Reserved",,Ashley Arthur,"Compass RE Texas, LLC",,,,,,8439386,210  Lavaca St  #2203,DT
mls-csv-import,360-condominiums,360 Condominiums,1902,Active,,2025-10-01,,1195000,1195000,,1022.24,1169,2,2,138,431,B3,SWc,1059,2,2,false,1400,Monthly,2011,Valet,,Denise Bodman,"Compass RE Texas, LLC",,,,,,6033797,210  Lavaca St  #1902,DT
mls-csv-import,360-condominiums,360 Condominiums,3101,Pending,,2025-09-29,,9500,12000,,4.86,1953,2,3,115,115,A9,SEc,801,1,1,false,,,2011,"Attached, Garage, Reserved",,Joseph Yager,Uptown Realty LLC,,,,,10000,8181294,210  Lavaca St  #3101,DT
mls-csv-import,360-condominiums,360 Condominiums,3103,Pending,,2025-09-29,,4995,4995,,4.72,1059,1,1,46,46,A4,E,728,1,1,false,,,2011,"Garage, Reserved",,Joseph Yager,Uptown Realty LLC,,,,,,9710269,210  Lavaca St  #3103,DT
mls-csv-import,360-condominiums,360 Condominiums,2209,Closed,2025-09-26,2025-05-01,4100,4295,4250,6.4,6.7,641,1,1,140,140,B2,E,1244,2,2,false,,,2011,"Assigned, Attached, Garage",,Kris Vermelis,Douglas Elliman Real Estate,Joseph Schmidt,Dash Realty,0.9546,0.9647,4395,1711479,210  Lavaca St  #2209,DT
mls-csv-import,360-condominiums,360 Condominiums,2013,Closed,2025-09-05,2025-07-30,4500,4500,4500,5.07,5.07,888,1,1,19,19,,,,,,,,,2011,"Covered, Garage",,Connor Matthews,Urbanspace,Douglas Byron,"Compass RE Texas, LLC",1.0000,1.0000,,5476455,210  Lavaca St  #2013,DT
mls-csv-import,360-condominiums,360 Condominiums,3601,Withdrawn,,2025-09-05,,5950000,5950000,,1645.01,3617,3,4,94,94,A9,SEc,801,1,1,false,4801.42,Monthly,2011,"Assigned, Attached, Garage, Gated, Private",,Eric Moreland,Moreland Properties,,,,,,5724626,210  Lavaca St  #3601,DT
mls-csv-import,360-condominiums,360 Condominiums,2005,Closed,2025-08-31,2025-04-14,5000,5500,5500,4.28,4.7,1169,2,2,2,2,B4,E,1225,2,2,false,,,2011,"Assigned, Garage",,Megan Colwart,DEN Property Group,Megan Colwart,DEN Property Group,0.9091,0.9091,,4305476,210  Lavaca St  #2005,DT
mls-csv-import,360-condominiums,360 Condominiums,1911,Expired,,2025-08-26,,9000,9000,,6.32,1423,2,3,35,35,B6,NEc,1280,2,2,false,,,2011,Assigned,,Bryan Cady,DEN Property Group,,,,,,1294321,210  Lavaca St  #1911,DT
mls-csv-import,360-condominiums,360 Condominiums,2910,Closed,2025-08-25,2025-07-28,3000,3000,3000,3.9,3.9,770,1,1,8,8,A5,NWc,770,1,1,false,,,2008,"Assigned, Garage, Reserved",,Bernardo De Alba,Urbanspace,Jesper Taktblad,"Compass RE Texas, LLC",1.0000,1.0000,,4967551,360  Nueces St  #2910,DT
